"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\README.md", "Markdown", 2, 0, 0, 0, 2
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Authentication.py", "Python", 0, 0, 47, 0, 47
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Get_user_informations.py", "Python", 0, -7, 30, -1, 22
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Inventory_db.py", "Python", 0, 1, 109, 0, 110
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Load_player.py", "Python", 0, 0, 45, 0, 45
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Quests.py", "Python", 0, 0, 15, 0, 15
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Registration.py", "Python", 0, -5, 61, -1, 55
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Set_quests.py", "Python", 0, 0, 14, 0, 14
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Actions\Set_status.py", "Python", 0, 0, 62, 0, 62
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Database\Database.py", "Python", 0, 0, 8, 0, 8
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Enums\Next_message.py", "Python", 0, -2, 0, -1, -3
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Inventory_level.py", "Python", 0, 11, 0, -1, 10
"c:\Users\Misah\OneDrive\Plocha\soubor\PV-Game\Server\Interfaces\Profil\Profile.py", "Python", 0, 4, 0, 0, 4
"Total", "-", 2, 2, 391, -4, 391